Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
"0608 Ronda 2, Licitación 4: Área 6, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 6 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"1,674",91,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG06/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,891 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero, aceite superligero y gas seco. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Mioceno tardío, mioceno medio, mioceno temprano, oligoceno tardío, jurásico tardío - Litología(s): Arena grano fino, arena grano medio, packstone/grainstone de oolitas - Tipo de hidrocarburo: Aceite ligero, aceite superligero y gas seco",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,"Shell Exploracion y Extraccion de Mexico, QatarEnergy E&P México","Shell Gas, Dordtsche Petroleum Maatschappij, QPI Upstream Holdings, Qatar Petroleum International",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El 24/11/2023 la CNH inició e instruyó la tramitación del procedimiento de terminación anticipada por renuncia a la totalidad del área contractual, presentada por Shell Exploracion y Extraccion de México, S.A. de C.V. El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/608-ronda2-licitacion-4-area-6/,Yacimiento,1891,km2,Aceite ligero,,,,Aceite Superligero,,,,Gas seco,,,,,,Si
"0607 Ronda 2, Licitación 4: Área 5, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 5 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"1,952",106,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG05/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,733 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edad(es) del play: Oligoceno tardío, oligoceno temprano, eoceno temprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Pemex Exploración y Producción,Pemex,Aguas Profundas del Golfo de México,Secretaría de Energía,,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/607-ronda2-licitacion-4-area-5/,Yacimiento,2733,km2,Aceite ligero,,,,,,,,,,,,,,Si
"0606 Ronda 2, Licitación 4: Área 4, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 4 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"2,469",133,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG04/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 1,900 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero y aceite superligero. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Mioceno temprano y eoceno tardío - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero y aceite superligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,"Shell Exploracion y Extraccion de Mexico, QatarEnergy E&P México","Shell Gas, Dordtsche Petroleum Maatschappij, QPI Upstream Holdings, Qatar Petroleum International",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El 24/11/2023 la CNH inició e instruyó la tramitación del procedimiento de terminación anticipada por renuncia a la totalidad del área contractual, presentada por Shell Exploracion y Extraccion de México, S.A. de C.V. El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/606-ronda2-licitacion-4-area-4/,Yacimiento,1900,km2,Aceite ligero,,,,Aceite Superligero,,,,,,,,,,Si
"0605 Ronda 2, Licitación 4: Área 3, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 3 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,466,25,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG03/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,062 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero y aceite superligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edad(es) del play: Oligoceno temprano, eoceno tardío y eoceno temprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero y aceite superligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,"Shell Exploracion y Extraccion de Mexico, QatarEnergy E&P México","Shell Gas, Dordtsche Petroleum Maatschappij, QPI Upstream Holdings, Qatar Petroleum International Limited",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El 24/11/2023 la CNH inició e instruyó la tramitación del procedimiento de terminación anticipada por renuncia a la totalidad del área contractual, presentada por Shell Exploracion y Extraccion de México, S.A. de C.V. El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/605-ronda2-licitacion-4-area-3/,Yacimiento,2062,km2,Aceite ligero,,,,Aceite Superligero,,,,,,,,,,Si
"0604 Ronda 2, Licitación 4: Área 2, Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO CORRESPONDIENTE A LA RONDA 2, LICITACIÓN 4, ÁREA 2 (PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"1,618",87,"Exploración,Extracción",,"Contrato de licencia CNH-R02-L04-AP-PG02/2018 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un área de 2,146 km2 en la provincia petrolera de Perdido para la extracción de aceite ligero. Características Principales: - Provincia geológica: Salina del Bravo - Edad(es) del play: Eoceno emprano - Litología(s): Arena grano fino - Tipo de hidrocarburo: Aceite ligero",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,20/07/2017,31/01/2018,02/02/2018,07/05/2018,07/05/2018,,07/05/2053,Ejecución,,Pemex Exploración y Producción,Pemex,Aguas Profundas del Golfo de México,Secretaría de Energía,,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/604-ronda2-licitacion-4-area-2/,Yacimiento,2146,km2,Aceite ligero,,,,,,,,,,,,,,Si
0537 CENACE: 2a Subasta Eléctrica de Largo Plazo (SLP-1/2016) Gunaa Sicarú,"DISEÑO, CONSTRUCCIÓN, EQUIPAMIENTO, INSTALACIÓN, OPERACIÓN Y MANTENIMIENTO DE UNA CENTRAL EÓLICA EN EL ESTADO DE OAXACA.",Electricidad,Energía Eólica,Brownfield,Pesos mexicanos MXN,"6,000",324,"Diseño,Construcción,Equipamiento,Instalación,Operación,Mantenimiento",,"El proyecto consiste en el diseño, construcción, equipamiento, instalación, operación y mantenimiento de la central eólica Gunaa Sicarú con una capacidad total de 252 MW en el estado de Oaxaca. La central cuenta con las siguientes características: Zona de potencia: Nacional Zona de exportación: Oriental Subzona de exportación: Oriental-Ixtepec Zona de precio: Ixtepec Zona de interconexión: SUBESTACIÓN ELÉCTRICA DE TRANSFORMACIÓN COLECTORA SET-230 Eólica de Oaxaca a través de la subasta eléctrica de largo plazo de 2016 del CENACE, ganó el siguiente contrato con la central Gunaa Sicarú: Número de contrato: SLP2016010045-03, relacionado a: - Energía por 818,264 MWHr/Año y Certificados de Energía Limpia (CEL) por 818,264 CEL/Año, con un precio ofertado de MXN$572,609,625 El plazo del contrato es de 15 años para energía y 20 años para los CEL.",Privado,Asignación,15 Años,Subasta Pública,,29/04/2016,01/08/2016,28/09/2016,,01/12/2017,,2034,Ejecución,,Eólica de Oaxaca,EDF Energies Nouvelles Group,Oaxaca,Privado,false,La última información con que se cuenta es del permiso E/1922/GEN/2017 del 29/06/2017.,https://www.proyectosmexico.gob.mx/proyecto_inversion/537-cenace-subasta-electrica-de-largo-plazo-gunna-sicaru/,Parque Eólico,252,MW,,,,,,,,,,,,,,,
0495 CNH: Asociación de PEMEX: Área 1 Trion,"EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO EN ASOCIACIÓN CON PEMEX (FARMOUT), ÁREA 1 (TRION).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"200,996","10,865","Exploración,Extracción",,"Contrato de licencia CNH-A1-TRION/2016 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un bloque de 1,285 km2 para la extracción de aceite ligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edades del Play: Eoceno y Cretácico - Litología(s): Arenisca de grano fino a medio y carbonatos - Tipos de Hidrocarburos: Aceite ligero y gas asociado - Recursos Prospectivos: P90 181 millones de barriles de petróleo crudo equivalente (MMbpce) y P10 1,045 MMbpce",Público / Privado,Farm out,35 Años,Licitación Pública Internacional,,28/07/2016,05/12/2016,05/12/2016,03/03/2017,03/03/2017,,03/03/2052,Ejecución,,Woodside Petróleo Operaciones de México,"BHP Billiton Petroleo Holdings de México, BHP Billiton Petroleum (México Holdings)",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/495-cnh-asociacion-de-pemex-area-1-trion/,Yacimiento,1285,km2,Aceite ligero,,,,,,,,,,,,,Si,Si
"0494 Ronda 1, Licitación 4: Área 5, Cuenca Salina","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO, RONDA 1, LICITACIÓN 4, ÁREA 5 (CUENCA SALINA).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"3,748",203,"Exploración,Extracción",,"Contrato de licencia CNH-R01-L04-A5.CS/2016 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un bloque de 2,573 km2 para la extracción de aceite pesado y gas húmedo. Características Principales: - Provincia geológica: Salina del Istmo - Edades del Play: Neógeno y Cretácico fracturado - Litología(s): Caliza fracturada y arena grano medio - Tipo de hidrocarburo: Aceite extrapesado, aceite ligero y gas húmedo - Recursos Prospectivos: P90: 169.5 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 467.9 MMbpce y P10: 1,306 MMbpce",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,24/08/2016,05/12/2016,07/12/2016,10/03/2017,10/03/2017,,10/03/2052,Ejecución,,"Murphy Sur, PC Carigali Mexico Operations y Sierra Offshore Exploration","Murphy Netherlands Holdings II, Murphy Netherlands Holdings, PC Carigali Mexico Oil & Gas Holding, Petronas Carigali International, Xitla Energía, DEA Nederland",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. Contraprestación sobre la base de ingresos brutos antes de deducir los costos. 2. Mecanismo de ajuste con base en volumen de producción y de precios. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/494-ronda-1-licitacion-4-area-5-cuenca-salina/,Yacimiento,2573,km2,Aceite pesado,,,,Gas húmedo,,,,,,,,,,Si
"0493 Ronda 1, Licitación 4: Área 4, Cuenca Salina","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO, RONDA 1, LICITACIÓN 4, ÁREA 4 (CUENCA SALINA).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"4,773",258,"Exploración,Extracción",,"Contrato de licencia CNH-R01-L04-A4.CS/2016 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un bloque de 2,359 km2 para la extracción de aceite ligero. Características Principales: - Provincia geológica: Salina del Istmo - Edades del Play: Neógeno, Paleógeno y Cretácico fracturado - Litología(s): Caliza fracturada, Arena grano medio y Arena grano fino - Tipo de hidrocarburo: Aceite pesado, aceite ligero y gas húmedo - Recursos Prospectivos: P90: 82.5 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 262.4 MMbpce y P10: 895.3 MMbpce",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,24/08/2016,05/12/2016,07/12/2016,10/03/2017,10/03/2017,,10/03/2052,Ejecución,,PC Carigali Mexico Operations y Sierra Coronado E&P,"PC Carigali Mexico Oil & Gas Holding, Petronas Carigali International E&P, Coronado Energía, Sierra Offshore Exploration, DEA Nederland",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. Contraprestación sobre la base de ingresos brutos antes de deducir los costos. 2. Mecanismo de ajuste con base en volumen de producción y de precios. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/493-ronda-1-licitacion-4-area-4-cuenca-salina/,Yacimiento,2359,km2,Aceite ligero,,,,,,,,,,,,,,Si
"0487 Ronda 1, Licitación 4: Área 1, Cinturón Plegado Perdido","EXPLORACIÓN Y EXTRACCIÓN DE HIDROCARBUROS EN AGUAS PROFUNDAS DEL GOLFO DE MÉXICO, RONDA 1, LICITACIÓN 4, ÁREA 1 (CINTURÓN PLEGADO PERDIDO).",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"8,290",448,"Exploración,Extracción",,"Contrato de licencia CNH-R01-L04-A1.CPP/2016 para la exploración de hidrocarburos en aguas profundas del Golfo de México, en un bloque de 1,678 km2 para la extracción de aceite superligero. Características Principales: - Provincia geológica: Cinturón Plegado Perdido - Edades del Play: Paleógeno. - Litología(s): Arena grano medio y Arena grano fino. - Tipo de hidrocarburo: Aceite superligero. - Recursos Prospectivos: P90: 108.6 millones de barriles de petróleo crudo equivalente (MMbpce), P50: 457.3 MMbpce y P10: 1,422.6 MMbpce",Público / Privado,Licencia,35 Años,Licitación Pública Internacional,,24/08/2016,05/12/2016,07/12/2016,10/03/2017,10/03/2017,,10/03/2052,Ejecución,,China Offshore Oil Corporation E&P México,"CNOOC International, CNOOC Netherlands",Aguas Profundas del Golfo de México,Secretaría de Energía,,"El 15/12/2022 la CNH emitió la resolución CNH.E.94.004/2022 por la que determina la conclusión del procedimiento de terminación anticipada por renuncia parcial, respecto del Contrato CNH-R01-L04-A1.CPP/2016. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. Cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos. 3. Mecanismo de ajuste con base en volumen de producción y de precios. Es importante aclarar que todo el riesgo de la exploración lo corre el operador, es decir, si el operador asignado no encuentra hidrocarburos económicamente viables para ser extraídos, el Estado mexicano no pagaría nada. Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/487-ronda-1-licitacion-4-area-1-cinturon-plegado-perdido/,Yacimiento,1678,km2,Aceite Superligero,,,,,,,,,,,,,,Si
"0484 Ronda 1, Licitación 3: Área 23, Tajón","EXTRACCIÓN DE HIDROCARBUROS EN ZONAS TERRESTRES CORRESPONDIENTE A LA RONDA 1, LICITACIÓN 3, ÁREA 23 (NORTE), EN EL ESTADO DE TABASCO.",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,"1,402",76,Extracción,,"Contrato de licencia CNH-R01-L03-A23/2015 para la extracción de hidrocarburos en zona terrestre, en una área de 27.5 km2 en el estado de Tabasco para la extracción de aceite y gas. Características Principales: - Litología(s): Caliza - Tipo de hidrocarburo: Aceite y gas",Público / Privado,Licencia,25 Años,Licitación Pública Internacional,,12/05/2015,15/12/2015,24/12/2015,10/05/2016,10/05/2016,,10/05/2041,Ejecución,,Perseus Tajón,"Compañía Petrolera Perseus, Perseus Exploración y Producción, Operadora Máquinas Diesel",Tabasco,Secretaría de Energía,,"El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo). El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años.",https://www.proyectosmexico.gob.mx/proyecto_inversion/484-ronda-1-licitacion-3-area-23/,Yacimiento,"27,5",km2,Aceite y Gas,,,,,,,,,,,,,,Si
"0483 Ronda 1, Licitación 3: Área 22, Secadero","EXTRACCIÓN DE HIDROCARBUROS EN ZONAS TERRESTRES CORRESPONDIENTE A LA RONDA 1, LICITACIÓN 3, ÁREA 22 (SUR), EN EL ESTADO DE CHIAPAS.",Hidrocarburos,Exploración/Producción,Greenfield,Dólares americanos USD,803,43,Extracción,,"Contrato de licencia CNH-R01-L03-A22/2015 para la extracción de hidrocarburos en zona terrestre, en una área de 9.8 km2 en el estado de Chiapas para la extracción de aceite y gas. Características Principales: - Litología(s): Caliza - Tipo de hidrocarburo: Aceite y gas",Público / Privado,Licencia,25 Años,Licitación Pública Internacional,,12/05/2015,15/12/2015,24/12/2015,10/05/2016,10/05/2016,,10/05/2041,Ejecución,,Secadero Petróleo y Gas,"Constructora y Arrendadora México, Grupo R Exploración y Producción",Chiapas,Secretaría de Energía,,"El contrato de tipo licencia para la extracción de hidrocarburos estipula que el contratista proporcionará y será responsable de todos los recursos técnicos y económicos financieros que se requieran para la ejecución de las operaciones y tendrá el derecho de propiedad sobre los hidrocarburos extraídos en el área de Contrato. El Contratista pagará una regalía, sobre la base de los Hidrocarburos fiscalizados. El Estado es socio del contratista. Las contraprestaciones para el Estado son: 1. La cuota contractual para la fase exploratoria 2. Contraprestación sobre la base de ingresos brutos antes de deducir los costos 3. Mecanismo de ajuste con base en volumen de producción y de precios Existen dos posibles prórrogas en el plazo del contrato sujetas a que el área esté en producción comercial regular, la primera prórroga de 5 años y una segunda prórroga por otros 5 años. El monto de inversión estimada se refiere a las inversiones aprobadas, que son aquellas que los operadores estiman ejercer en los distintos planes, según corresponda (exploración, evaluación y/o desarrollo).",https://www.proyectosmexico.gob.mx/proyecto_inversion/483-ronda-1-licitacion-3-area-22/,Yacimiento,"9,8",km2,Aceite y Gas,,,,,,,,,,,,,,Si
